major minor  #blocks  name

   1        0       8192 ram0
   1        1       8192 ram1
   1        2       8192 ram2
   1        3       8192 ram3
   1        4       8192 ram4
   1        5       8192 ram5
   1        6       8192 ram6
   1        7       8192 ram7
   1        8       8192 ram8
   1        9       8192 ram9
   1       10       8192 ram10
   1       11       8192 ram11
   1       12       8192 ram12
   1       13       8192 ram13
   1       14       8192 ram14
   1       15       8192 ram15
   7        0        804 loop0
   7        8      12052 loop1
   7       16      34036 loop2
   7       24       3512 loop3
   7       32      10952 loop4
   7       40        288 loop5
   7       48       1096 loop6
   7       56        268 loop7
   7       64      19356 loop8
   7       72        524 loop9
   7       80       2144 loop10
   7       88      34036 loop11
   7       96       3512 loop12
   7      104       4448 loop13
   7      112      21100 loop14
   7      120        804 loop15
 254        0    1535776 zram0
 179        0   15388672 mmcblk2
 179        1       4096 mmcblk2p1
 179        2       4096 mmcblk2p2
 179        3       4096 mmcblk2p3
 179        4       4096 mmcblk2p4
 179        5       4096 mmcblk2p5
 179        6       1024 mmcblk2p6
 179        7      65536 mmcblk2p7
 179        8      98304 mmcblk2p8
 179        9     393216 mmcblk2p9
 179       10     393216 mmcblk2p10
 179       11      65536 mmcblk2p11
 179       12       1024 mmcblk2p12
 179       13    2457600 mmcblk2p13
 179       14   11888608 mmcblk2p14
 179       32       4096 mmcblk2boot0
 179       64       4096 mmcblk2boot1
 253        0    1432540 dm-0
 253        1        256 dm-1
 253        2      52964 dm-2
 253        3     125944 dm-3
 253        4       7612 dm-4
 253        5      45000 dm-5
 253        6        256 dm-6
 253        7     393600 dm-7
   7      128       3008 loop16
   7      136       8532 loop17
   7      144       2312 loop18
   7      152       5216 loop19
   7      160       4288 loop20
   7      168      25152 loop21
   7      176       3348 loop22
   7      184      15180 loop23
   7      192      18444 loop24
   7      200       2960 loop25
   7      208      12052 loop26
   7      216      20888 loop27
   7      224      25292 loop28
   7      232        268 loop29
   7      240       3248 loop30
   7      248       2828 loop31
   7      256        268 loop32
   7      264        760 loop33
   7      272       8980 loop34
 253       28       4400 dm-28
 253       20      20924 dm-20
 253       33       2280 dm-33
 253       24      24944 dm-24
 253       30       3308 dm-30
 253       38      15048 dm-38
 253       37       2972 dm-37
 253        8       8452 dm-8
 253       31       4240 dm-31
 253       19      18288 dm-19
 253       23       3208 dm-23
 253       14      20712 dm-14
 253       17       2924 dm-17
 253       12       2792 dm-12
 253       22      25084 dm-22
 253       27        256 dm-27
 253       36       8896 dm-36
 253       15        740 dm-15
 253        9        256 dm-9
